match_id,radiant_win,first_blood_time,dire_score,radiant_score,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,throw,comeback,loss,win
3781706342,True,87,23,35,3,63,1536,1844,399,,15604,
3781777845,True,247,16,24,11,63,1540,1974,0,,24898,
3781854643,True,0,15,23,48,63,1792,1974,354,,15998,
3781943140,True,176,28,34,3,63,4,1924,0,,10941,
3782034378,False,77,33,15,63,0,1974,0,,0,,
3783051055,True,49,4,31,63,63,1988,1855,768,,11026,
3783090410,False,49,38,11,63,3,1982,1540,,259,,
3783144649,False,0,24,9,63,48,1956,1792,,1205,,
3783207155,True,150,26,27,35,63,4,1588,9258,,2706,
3783282607,False,9,21,10,63,0,1828,1536,,1592,,
3783381318,False,101,39,29,63,3,1844,516,,773,,
3783480887,True,158,15,28,0,63,0,1854,304,,22721,
3784916640,True,375,10,19,48,63,1792,1847,432,,16902,
3785089541,False,281,32,9,63,0,2038,1536,,181,,
3785291298,False,136,46,42,19,0,1540,0,,7165,,
3785462740,False,4,32,22,63,48,1844,1536,,3887,,
3785554522,True,97,38,27,63,0,390,0,35714,,409,
3785816471,False,155,36,13,63,0,1956,1536,,2588,,
3785951130,True,72,29,34,48,63,256,1828,3455,,19113,
3786106535,True,191,31,20,63,63,388,1796,13875,,0,
3786958899,False,225,20,11,63,58,1844,1792,,455,,
3787058134,True,85,19,32,12,63,1568,1830,677,,16023,
3787212636,True,381,19,28,0,63,0,1830,894,,18286,
3787365356,False,0,35,14,15,48,1584,1792,,-20,,
3787477054,False,44,48,21,63,0,1972,0,,168,,
3787689572,True,80,8,16,31,63,1572,2046,804,,9206,
3787793545,True,124,9,15,48,63,1792,1983,628,,18510,
3792361808,True,54,12,30,3,63,1540,1855,585,,26251,
3792442906,False,177,19,4,63,3,1974,1542,,0,,
3792551699,True,101,13,33,17,63,1536,1846,81,,21509,
3792653077,True,51,17,42,3,63,4,1591,100,,33158,
3792813426,False,74,14,2,63,3,2046,518,,-100,,
3792899771,True,227,18,26,14,63,1568,1956,1194,,15540,
3793030149,True,48,34,43,51,63,4,1828,637,,16724,
3793135633,True,104,15,27,0,60,1536,1968,2162,,9496,
3793936123,True,208,21,28,0,63,1536,1796,4847,,10414,
3794026128,False,152,36,11,63,48,2038,1792,,0,,
3794109188,False,142,39,5,63,3,1982,1536,,0,,
3794215242,False,199,38,16,63,0,1958,1536,,1207,,
3794315872,True,100,10,37,44,63,1568,2047,140,,24493,
3794444729,True,229,9,24,52,63,1984,1847,619,,12977,
3794537388,False,55,15,7,63,51,1982,1927,,124,,
3794599724,True,204,38,34,0,3,0,518,11155,,6044,
3794721842,False,0,30,4,63,63,2039,1846,,-390,,
3794784138,False,140,26,12,63,51,1974,1540,,219,,
3795753791,True,113,13,22,0,63,1024,1855,1049,,11794,
3795857405,False,143,30,29,63,12,1828,32,,1842,,
3796013772,True,14,12,34,12,63,1568,1982,0,,21636,
3796128008,False,79,27,22,63,0,2038,0,,0,,
3796268587,True,383,7,30,60,63,1568,1974,0,,19459,
3796359654,False,1,39,8,63,63,2038,1844,,0,,
3797616005,False,344,32,13,63,0,2046,0,,0,,
3797779580,False,202,34,23,63,51,1844,260,,2481,,
3797921919,False,207,29,21,51,0,1796,0,,3724,,
3798116566,False,98,45,23,63,0,1952,1024,,5432,,
3798272648,True,39,20,35,51,15,1924,1572,8157,,17326,
3799869808,False,244,25,4,63,0,1972,1536,,2161,,
3799989013,False,0,31,18,63,0,1830,0,,3661,,
3800120344,False,227,35,18,63,3,1980,1542,,0,,
3805102807,False,186,34,17,63,0,1968,1536,,2592,,
3805108868,True,21,11,37,3,63,0,1844,120,,14108,
3805168942,False,0,44,25,63,0,1972,512,,1935,,
3805169331,False,118,31,14,63,0,1974,0,,0,,
3805223928,False,332,36,24,63,0,1972,1536,,2570,,
3805240127,True,48,34,35,51,3,260,512,11685,,6230,
3805293296,False,0,34,24,63,32,1972,1536,,4351,,
3805324477,False,0,34,2,63,63,2047,1828,,-390,,
3805358214,False,122,42,25,63,0,1956,1024,,2696,,
3805388478,True,152,12,36,11,63,1540,1846,315,,19436,
